epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,852.141,0.94859,0.75962,1.05536,0.49087,0.4194,0.34296,0.18653,1.61151,1.77136,1.37964,0.000638115,0.000638115,0.000638115
126,858.855,0.96222,0.80345,1.07958,0.82673,0.30591,0.4058,0.21647,1.6679,1.64018,1.38126,0.000633115,0.000633115,0.000633115
127,865.541,0.95569,0.77453,1.06794,0.42331,0.49284,0.42766,0.22631,1.56278,1.65155,1.38832,0.000628101,0.000628101,0.000628101
128,872.392,0.95646,0.76811,1.05934,0.53958,0.41174,0.39966,0.23948,1.71229,1.54824,1.45893,0.000623074,0.000623074,0.000623074
129,878.662,0.92885,0.76489,1.06021,0.47232,0.42654,0.39245,0.22184,1.61759,1.6225,1.38671,0.000618034,0.000618034,0.000618034
130,884.858,0.9096,0.74418,1.04691,0.69378,0.37205,0.40394,0.23314,1.64858,1.4046,1.38118,0.000612981,0.000612981,0.000612981
131,891.844,0.92123,0.73559,1.04477,0.73342,0.33528,0.37053,0.21205,1.66348,1.82127,1.39442,0.000607916,0.000607916,0.000607916
132,898.682,0.93005,0.75255,1.05919,0.48253,0.41106,0.41126,0.24184,1.65326,1.61763,1.3859,0.00060284,0.00060284,0.00060284
133,905.609,0.90714,0.74166,1.04887,0.72747,0.35207,0.42755,0.25792,1.69033,1.53359,1.38858,0.000597754,0.000597754,0.000597754
134,912.452,0.9208,0.74644,1.04521,0.69686,0.37578,0.43381,0.27817,1.60685,1.59258,1.34094,0.000592657,0.000592657,0.000592657
135,919.74,0.92802,0.75279,1.04469,0.7365,0.40284,0.44766,0.2666,1.71308,1.67008,1.42307,0.000587551,0.000587551,0.000587551
136,926.4,0.8962,0.71638,1.03757,0.50034,0.46924,0.40103,0.23485,1.68517,1.50276,1.43291,0.000582435,0.000582435,0.000582435
137,933.098,0.91867,0.72245,1.03935,0.68489,0.37215,0.34277,0.19848,1.63159,1.46154,1.40493,0.000577311,0.000577311,0.000577311
138,939.704,0.93198,0.73541,1.05574,0.55424,0.31744,0.36619,0.18721,1.63941,1.46049,1.39969,0.000572179,0.000572179,0.000572179
139,946.635,0.92298,0.73559,1.04534,0.57574,0.32569,0.33495,0.17903,1.64533,1.55415,1.37318,0.00056704,0.00056704,0.00056704
140,953.628,0.90654,0.72118,1.04498,0.49588,0.35303,0.37941,0.20962,1.69086,1.8094,1.44925,0.000561894,0.000561894,0.000561894
141,960.968,0.91866,0.7456,1.05816,0.43109,0.39087,0.36477,0.19222,1.58867,1.44573,1.39766,0.000556742,0.000556742,0.000556742
142,967.864,0.88425,0.69804,1.02951,0.4525,0.37124,0.38983,0.21374,1.77737,1.60153,1.43511,0.000551584,0.000551584,0.000551584
